age,job,marital,education,default,housing,loan,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,pred_subs,euribor3m,nr.employed
30,blue-collar,married,basic.9y,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.313,5099.1
39,services,single,high.school,no,no,no,Campaign-4,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
25,services,married,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.962,5228.1
38,services,married,basic.9y,no,unknown,unknown,Campaign-3,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
47,admin.,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.191,5195.8
32,services,single,university.degree,no,no,no,Campaign-3,999-Days,2,failure,-1.1,94.199,-37.5,no,0.884,4963.6
32,admin.,single,university.degree,no,yes,no,Campaign-4,999-Days,0,nonexistent,-1.1,94.199,-37.5,no,0.879,4963.6
41,entrepreneur,married,university.degree,unknown,yes,no,Campaign-2,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.191,5195.8
31,services,divorced,professional.course,no,no,no,Campaign-1,999-Days,1,failure,-0.1,93.2,-42,no,4.153,
35,blue-collar,married,basic.9y,unknown,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
25,services,single,basic.6y,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.958,5228.1
36,self-employed,single,basic.4y,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.968,5228.1
36,admin.,married,high.school,no,no,no,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.859,5191
47,blue-collar,married,basic.4y,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.958,5228.1
29,admin.,single,high.school,no,no,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.313,5099.1
27,services,single,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.963,5228.1
44,admin.,divorced,university.degree,no,no,no,Campaign-6,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.957,5228.1
46,admin.,divorced,university.degree,no,yes,no,Campaign-4,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
45,entrepreneur,married,university.degree,unknown,yes,yes,Campaign-2,999-Days,0,,1.4,93.444,-36.1,no,4.965,5228.1
50,blue-collar,married,basic.4y,no,no,yes,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,yes,4.961,5228.1
55,services,married,basic.6y,unknown,yes,no,Campaign-6,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
39,technician,divorced,high.school,no,no,no,Campaign-1,12-Days,2,success,-1.8,93.369,-34.8,yes,0.639,5008.7
29,technician,single,university.degree,no,yes,yes,Campaign-3,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.967,5228.1
40,management,married,high.school,no,no,yes,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.965,5228.1
44,technician,married,professional.course,unknown,yes,no,Campaign-7,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.864,5191
38,technician,married,professional.course,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,yes,4.965,5228.1
36,technician,divorced,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
28,blue-collar,married,basic.6y,unknown,no,no,Campaign-2,999-Days,1,failure,-1.8,92.893,-46.2,no,1.299,5099.1
47,admin.,single,unknown,unknown,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.86,5191
34,admin.,married,university.degree,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
38,technician,married,university.degree,no,yes,yes,Campaign-1,999-Days,1,failure,-1.8,92.843,-50,no,1.687,5099.1
33,services,married,high.school,unknown,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.865,5228.1
51,technician,single,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,-2.9,92.963,-40.8,no,1.268,5076.2
30,blue-collar,single,basic.4y,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.864,5228.1
48,technician,married,university.degree,no,no,no,Campaign-7,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.962,5228.1
28,blue-collar,single,basic.9y,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.864,5228.1
36,blue-collar,married,basic.6y,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.859,5191
46,management,divorced,high.school,no,no,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.12,5195.8
31,technician,single,unknown,no,yes,no,Campaign-1,999-Days,1,failure,-1.8,92.893,-46.2,no,1.334,5099.1
20,student,single,unknown,no,no,no,Campaign-3,999-Days,3,failure,-1.1,94.601,-49.5,no,0.977,4963.6
35,services,married,high.school,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.344,5099.1
38,blue-collar,married,basic.9y,unknown,unknown,unknown,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.967,5228.1
76,retired,married,university.degree,no,no,no,Campaign-1,999-Days,1,failure,-1.7,94.027,-38.3,no,0.899,4991.6
45,entrepreneur,divorced,professional.course,no,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
32,housemaid,married,basic.4y,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.313,5099.1
39,management,single,university.degree,unknown,no,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.327,5099.1
32,admin.,married,university.degree,no,no,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.592,5195.8
29,admin.,single,basic.9y,no,no,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.299,5099.1
44,services,married,professional.course,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.97,5228.1
32,services,married,high.school,no,no,yes,Campaign-3,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.957,5228.1
56,retired,married,university.degree,no,yes,no,Campaign-1,999-Days,2,failure,-2.9,92.963,-40.8,no,1.26,5076.2
33,blue-collar,married,basic.9y,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.327,5099.1
39,management,married,high.school,no,no,no,Campaign-3,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.966,5228.1
24,technician,married,university.degree,no,yes,yes,Campaign-2,3-Days,1,success,-3.4,92.379,-29.8,yes,0.77,5017.5
33,admin.,single,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.327,5099.1
58,entrepreneur,divorced,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.866,5228.1
29,admin.,single,university.degree,no,yes,no,Campaign-27,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
31,admin.,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
27,admin.,married,"""",no,no,no,Campaign-5,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
60,admin.,divorced,professional.course,no,yes,no,Campaign-1,999-Days,1,failure,-1.1,94.199,-37.5,yes,0.886,4963.6
55,entrepreneur,married,professional.course,no,yes,yes,Campaign-1,999-Days,2,failure,-3.4,92.431,-26.9,no,0.739,5017.5
37,blue-collar,married,basic.9y,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.334,5099.1
52,admin.,married,unknown,no,yes,no,Campaign-1,6-Days,1,success,-1.8,93.749,-34.6,yes,0.654,5008.7
46,services,married,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,93.075,-47.1,no,1.405,5099.1
42,blue-collar,divorced,basic.6y,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.281,5099.1
35,admin.,single,university.degree,no,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.96,5228.1
49,technician,divorced,unknown,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-3.4,92.431,-26.9,no,0.754,5017.5
29,services,divorced,high.school,no,no,yes,Campaign-3,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.865,5228.1
32,blue-collar,married,basic.9y,no,no,no,Campaign-2,5-Days,1,success,-0.1,93.2,-42,yes,4.191,5195.8
37,self-employed,married,university.degree,no,no,no,Campaign-1,999-Days,1,failure,-1.8,92.893,-46.2,no,1.313,5099.1
39,technician,single,professional.course,unknown,no,no,Campaign-4,999-Days,0,nonexistent,1.4,94.465,-41.8,yes,4.865,5228.1
51,services,married,high.school,unknown,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,93.918,-42.7,yes,4.962,5228.1
28,admin.,single,high.school,no,yes,no,Campaign-3,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.291,5099.1
34,management,married,university.degree,no,yes,no,Campaign-4,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.281,5099.1
31,technician,single,high.school,no,yes,yes,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,yes,4.966,5228.1
31,admin.,married,university.degree,no,yes,no,Campaign-5,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.962,5228.1
31,admin.,single,university.degree,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.864,5228.1
